original_osm_name	normalized_name
1-й Абрикосовий провулок	1-й Абрикосовий провулок
1-й Авіаційний провулок	1-й Авіаційний провулок
1-й Аграрний тупик	1-й Аграрний тупик
1-й Аеродромний провулок	1-й Аеродромний провулок
1-й Аеропортівський провулок	1-й Аеропортівський провулок
1-й Алебастровий провулок	1-й Алебастровий провулок
1-й Альтинський провулок	1-й Альтинський провулок
1-й Амурський провулок	1-й Амурський провулок
1-й Ангарський проїзд	1-й Ангарський проїзд
1-й Андріївський провулок	1-й Андріївський провулок
1-й Аравійський в’їзд	1-й Аравійський вʼїзд
1-й Арктичний провулок	1-й Арктичний провулок
1-й Артилерійський провулок	1-й Артилерійський провулок
1-й Базарний провулок	1-й Базарний провулок
Балківський I провулок	1-й Балківський провулок
1-й Балтійський провулок	1-й Балтійський провулок
1-й Балтський провулок	1-й Балтський провулок
1-й Барашівський провулок	1-й Барашівський провулок
1-й Барвінковий проїзд	1-й Барвінковий проїзд
1-й Барський провулок	1-й Барський провулок
1-й Басейний провулок	1-й Басейний провулок
1-й Баштанський провулок	1-й Баштанський провулок
1-й Бердичівський провулок	1-й Бердичівський провулок
1-й Береговий провулок	1-й Береговий провулок
1-й Берегометський провулок	1-й Берегометський провулок
1-й Бережинський провулок	1-й Бережинський провулок
1-й Березівський провулок	1-й Березівський провулок
1-й Березовий провулок	1-й Березовий провулок
1-й Березовий проїзд	1-й Березовий проїзд
1-й Бібліотечний тупик	1-й Бібліотечний тупик
1-й Бірюковський провулок	1-й Бірюковський провулок
I-й Благовіщенський провулок	1-й Благовіщенський провулок
1-й Богунівський провулок	1-й Богунівський провулок
1-й Богунський провулок	1-й Богунський провулок
1-й Богунський проїзд	1-й Богунський проїзд
1-й Бойовий провулок	1-й Бойовий провулок
1-й Болгарський провулок	1-й Болгарський провулок
1-й Болгарський проїзд	1-й Болгарський проїзд
1-й Бортницький провулок	1-й Бортницький провулок
1-й Ботанічний провулок	1-й Ботанічний провулок
1-й Братський провулок	1-й Братський провулок
1-й Брестський провулок	1-й Брестський провулок
1-й Бузковий провулок	1-й Бузковий провулок
1-й Бузковий проїзд	1-й Бузковий проїзд
1-й Буковинський провулок	1-й Буковинський провулок
1-й Бульварний провулок	1-й Бульварний провулок
1-й Валовий провулок	1-й Валовий провулок
1-й Вапняковий провулок	1-й Вапняковий провулок
1-й Варшавський провулок	1-й Варшавський провулок
1-й Вербовий провулок	1-й Вербовий провулок
1-й Верстатний в’їзд	1-й Верстатний вʼїзд
1-й Верхній проїзд	1-й Верхній проїзд
1-й Веселий провулок	1-й Веселий провулок
1-й Весняний провулок	1-й Весняний провулок
1-й Вечірній провулок	1-й Вечірній провулок
1-й Вижницький провулок	1-й Вижницький провулок
1-й Виноградний провулок	1-й Виноградний провулок
1-й Винокурний провулок	1-й Винокурний провулок
1-й Високовольтний в’їзд	1-й Високовольтний вʼїзд
1-й Високогірний проїзд	1-й Високогірний проїзд
1-й Вишневий провулок	1-й Вишневий провулок
1-й Віденський провулок	1-й Віденський провулок
1-й Військоматський провулок	1-й Військоматський провулок
1-й Вільний провулок	1-й Вільний провулок
1-й Вільський провулок	1-й Вільський провулок
1-й Вінницький провулок	1-й Вінницький провулок
1-й Вовчанський провулок	1-й Вовчанський провулок
1-й Водопійний провулок	1-й Водопійний провулок
1-й Водопровідний провулок	1-й Водопровідний провулок
1-й Воздвиженський провулок	1-й Воздвиженський провулок
1-й Возненський провулок	1-й Возненський провулок
1-й Вокзальний провулок	1-й Вокзальний провулок
1-й Волгоградський провулок	1-й Волгоградський провулок
1-й Володимирівський провулок	1-й Володимирівський провулок
1-й Волочаївський провулок	1-й Волочаївський провулок
1-й Волчанський провулок	1-й Волчанський провулок
1-й Врожайний проїзд	1-й Врожайний проїзд
1-й Байрона в’їзд	1-й вʼїзд Байрона
1-й Овчаренка Дмитра в’їзд	1-й вʼїзд Дмитра Овчаренка
1-й Достоєвського в’їзд	1-й вʼїзд Достоєвського
1-й Жилярді в’їзд	1-й вʼїзд Жилярді
1-й Іллі Рєпіна в'їзд	1-й вʼїзд Іллі Рєпіна
1-й Крилова в’їзд	1-й вʼїзд Крилова
1-й Левка Симиренка в’їзд	1-й вʼїзд Левка Симиренка
1-й Луї Пастера в’їзд	1-й вʼїзд Луї Пастера
1-й Матросова в'їзд	1-й вʼїзд Матросова
Мирошниченка 1-й в'їзд	1-й вʼїзд Мирошниченка
1-й Мічуріна в’їзд	1-й вʼїзд Мічуріна
1-й Незалежності в’їзд	1-й вʼїзд Незалежності
1-й Некрасова в’їзд	1-й вʼїзд Некрасова
1-й Олександра Довженка в'їзд	1-й вʼїзд Олександра Довженка
1-й Петровського в’їзд	1-й вʼїзд Петровського
1-й Челюскінців в’їзд	1-й вʼїзд Челюскінців
1-й Газетний провулок	1-й Газетний провулок
1-й Гайдамацький провулок	1-й Гайдамацький провулок
1-й Генетичний провулок	1-й Генетичний провулок
1-й Географічний проїзд	1-й Географічний проїзд
1-й Георгіївський в’їзд	1-й Георгіївський вʼїзд
1-й Глинський провулок	1-й Глинський провулок
1-й Гоголівський провулок	1-й Гоголівський провулок
1 Головний провулок	1-й Головний провулок
1-й Горіхівський провулок	1-й Горіхівський провулок
1-й Горіховий проїзд	1-й Горіховий проїзд
1-й Горовий провулок	1-й Горовий провулок
1-й Госпітальний провулок	1-й Госпітальний провулок
1-й Гостинний в'їзд	1-й Гостинний вʼїзд
1-й Гранітний провулок	1-й Гранітний провулок
1-й Грідротехнічний проїзд	1-й Грідротехнічний проїзд
1-й Груньський провулок	1-й Груньський провулок
1-й Ґданський провулок	1-й Ґданський провулок
1-й Ґданський тупик	1-й Ґданський тупик
1-й Далекий провулок	1-й Далекий провулок
Дальницький 1-й провулок	1-й Дальницький провулок
1-й Данилівський провулок	1-й Данилівський провулок
1-й Дачний провулок	1-й Дачний провулок
1-й Деповський провулок	1-й Деповський провулок
1-й Деповський тупик	1-й Деповський тупик
1-й Деревообробний провулок	1-й Деревообробний провулок
1-й Джерельний провулок	1-й Джерельний провулок
1-й Димківський провулок	1-й Димківський провулок
1-й Дніпровський провулок	1-й Дніпровський провулок
1-й Дніпровський проїзд	1-й Дніпровський проїзд
1-й Дорошенківський в’їзд	1-й Дорошенківський вʼїзд
1-й Дорошенківський провулок	1-й Дорошенківський провулок
1-й Дробильний провулок	1-й Дробильний провулок
1-й Дружний провулок	1-й Дружний провулок
1-й Дунайський провулок	1-й Дунайський провулок
1-й Евенський провулок	1-й Евенський провулок
1-й Електронний провулок	1-й Електронний провулок
1-й Електронний проїзд	1-й Електронний проїзд
1-й Житловий провулок	1-й Житловий провулок
